product_id,product_name,category_id,unit_price,creation_date,is_discontinued
1,Guess PaleTurquoise,26,364.46,2025-02-14,True
2,Enough Brown,16,232.43,2024-01-07,False
3,Win DeepSkyBlue,8,344.16,2024-06-08,False
4,Kitchen FireBrick,15,27.41,2025-03-02,False
5,Dark MediumBlue,10,207.16,2024-08-25,False
6,Consider Red,14,489.16,2024-07-22,False
7,Writer LavenderBlush,1,31.01,2024-05-30,False
8,Lot OliveDrab,13,36.56,2024-01-21,False
9,Ok LavenderBlush,26,123.13,2024-11-16,False
10,Agent MediumSpringGreen,1,425.7,2024-02-14,False
11,Like PaleTurquoise,29,498.25,2025-04-26,False
12,Local Blue,24,249.12,2025-02-11,False
13,Health Green,18,132.1,2025-02-18,False
14,Reveal DimGray,21,161.57,2024-03-31,False
15,Collection Silver,31,135.05,2024-05-09,False
16,Every BurlyWood,10,207.44,2024-02-14,False
17,Need MediumOrchid,6,103.65,2025-03-24,False
18,Behavior LightYellow,11,374.28,2025-04-28,False
19,Since MediumTurquoise,17,95.1,2024-03-16,False
20,As MediumPurple,25,88.53,2025-02-25,False
21,Impact LightYellow,16,268.66,2024-09-11,False
22,Increase Aqua,29,342.38,2024-10-05,False
23,Just DarkOrchid,31,289.01,2025-02-23,False
24,National DarkSlateGray,2,447.51,2024-04-01,False
25,Technology Pink,28,271.69,2025-03-21,True
26,Cover Indigo,18,24.75,2024-03-16,False
27,New LavenderBlush,24,174.24,2024-05-09,False
28,Hit LavenderBlush,8,182.44,2024-06-28,False
29,Coach PowderBlue,19,133.74,2024-09-17,False
30,Behind LimeGreen,27,116.46,2024-01-30,False
31,Finally OrangeRed,14,84.9,2023-11-12,False
32,Land Gray,2,375.07,2023-11-27,False
33,Generation Brown,5,323.64,2025-05-15,False
34,Resource LightSlateGray,19,78.52,2024-06-27,False
35,Full Turquoise,20,151.87,2024-03-30,False
36,President DeepSkyBlue,24,230.7,2023-09-28,False
37,Region DarkMagenta,28,345.53,2023-11-06,False
38,Likely AliceBlue,11,40.38,2023-09-20,False
39,Moment Thistle,14,402.95,2023-09-05,False
40,Ten OldLace,12,278.04,2025-02-12,False
41,Stage DeepPink,9,278.97,2024-07-15,False
42,Would DarkMagenta,22,57.11,2024-08-28,False
43,Less Indigo,8,80.84,2023-12-15,False
44,Study PeachPuff,6,74.84,2025-03-09,False
45,Well Chartreuse,22,418.58,2024-05-16,False
46,War DarkCyan,24,221.32,2024-04-22,False
47,Try YellowGreen,25,410.33,2024-02-05,False
48,Book Plum,12,151.66,2025-04-17,False
49,Part DarkCyan,2,32.68,2024-05-01,False
50,Event BlanchedAlmond,13,86.08,2025-01-06,True
51,Traditional LightGoldenRodYellow,3,356.24,2024-03-22,False
52,Record NavajoWhite,10,430.66,2023-10-01,False
53,Suddenly Wheat,13,196.0,2024-07-12,False
54,Without Cyan,29,171.43,2024-12-06,True
55,Voice MediumTurquoise,17,170.6,2023-11-03,False
56,Indeed Thistle,27,158.58,2025-03-19,False
57,Water MediumAquaMarine,8,329.2,2024-11-08,False
58,Major Cornsilk,14,478.6,2023-10-28,False
59,Center FloralWhite,4,273.19,2025-05-14,False
60,Movement LightSkyBlue,31,478.11,2024-11-17,False
61,Coach Thistle,7,325.65,2024-07-17,False
62,Reach Chocolate,1,134.63,2023-12-04,False
63,Peace ForestGreen,12,455.7,2024-11-19,False
64,Everybody Black,19,285.51,2024-11-25,False
65,Project LemonChiffon,22,499.34,2024-01-11,False
66,Argue MediumVioletRed,6,62.09,2024-07-16,False
67,Large MediumSpringGreen,20,295.21,2023-10-22,False
68,Tree MediumBlue,11,267.33,2025-03-14,False
69,Guess OliveDrab,22,358.33,2023-10-26,False
70,Town LightPink,30,145.39,2024-06-03,True
71,According SpringGreen,23,350.21,2023-09-15,False
72,Around LightCyan,1,301.6,2025-02-03,False
73,Research MintCream,26,474.91,2025-02-15,False
74,Glass AntiqueWhite,30,166.49,2023-12-29,False
75,Beautiful Azure,25,50.34,2024-05-29,False
76,Lot Maroon,20,402.49,2024-09-13,False
77,Appear Gold,31,305.02,2025-01-02,False
78,At DeepSkyBlue,8,398.69,2023-09-10,False
79,Hair Beige,4,84.03,2025-02-26,False
80,Task OldLace,12,306.77,2025-04-29,False
81,National BlueViolet,17,127.74,2024-03-17,False
82,Garden Silver,4,106.26,2024-02-07,False
83,Easy NavajoWhite,14,396.09,2024-02-17,False
84,Send FloralWhite,12,327.49,2025-05-02,False
85,Seem DarkGray,25,248.34,2025-02-22,False
86,Budget ForestGreen,2,277.97,2023-10-22,False
87,Two PaleGoldenRod,26,481.65,2024-10-06,False
88,Specific Lavender,21,345.85,2024-09-22,False
89,Sport Indigo,21,307.56,2025-04-01,False
90,Amount LightPink,7,352.9,2025-01-21,False
91,Morning LightCyan,8,448.16,2024-06-07,False
92,Safe ForestGreen,24,304.36,2024-01-15,False
93,Industry DarkSlateBlue,4,482.49,2024-10-15,False
94,Our LightSkyBlue,22,105.76,2024-10-19,False
95,Name MidnightBlue,26,490.6,2024-06-21,False
96,Third Orchid,7,384.87,2023-12-12,False
97,Any AliceBlue,10,464.23,2023-10-24,True
98,Model GhostWhite,19,304.1,2024-05-07,False
99,Anything MistyRose,14,93.86,2025-03-14,False
100,Else CadetBlue,25,19.4,2025-03-17,False
101,Term Turquoise,7,90.45,2023-11-27,False
102,Long Teal,16,371.3,2025-02-06,False
103,Million DarkMagenta,26,127.8,2025-04-13,False
104,Best LightSalmon,5,471.97,2025-02-08,False
105,Ball Maroon,9,233.1,2024-10-02,False
106,Seven SlateBlue,7,405.88,2025-02-15,False
107,Special Orange,28,183.47,2023-12-01,True
108,Hit DarkOrange,20,205.45,2025-05-10,False
109,Total PaleGoldenRod,1,426.05,2025-01-06,False
110,Treatment PowderBlue,4,51.89,2023-11-14,False
111,New MidnightBlue,29,462.31,2025-03-06,False
112,Help Purple,4,309.77,2024-03-13,False
113,Would MediumSpringGreen,19,428.11,2024-01-14,False
114,Sense Crimson,9,191.62,2024-12-04,False
115,Draw CornflowerBlue,19,329.89,2023-11-26,False
116,Impact MidnightBlue,26,365.65,2023-11-12,False
117,Hundred LightGreen,16,340.53,2024-05-03,False
118,Training OrangeRed,26,294.36,2024-01-10,False
119,Wide MediumOrchid,23,189.06,2024-02-13,False
120,Television Navy,11,336.07,2023-11-06,False
121,Attorney OldLace,8,453.54,2024-05-01,False
122,A SeaGreen,1,356.87,2024-06-26,False
123,Air SaddleBrown,15,230.23,2025-04-01,False
124,Fire DarkOrange,7,357.75,2024-02-16,False
125,Indeed Thistle,26,470.93,2023-10-23,False
126,Parent DarkRed,8,198.31,2024-01-17,False
127,Meet Red,6,232.29,2025-02-09,False
128,Dark Orange,11,137.95,2024-08-19,False
129,Lose RoyalBlue,4,163.11,2024-09-27,False
130,Court LightPink,13,245.74,2025-04-17,False
131,Day MediumSpringGreen,22,284.64,2024-01-18,False
132,Allow LightPink,20,144.98,2023-10-24,False
133,His OldLace,22,403.22,2023-11-27,False
134,Those Snow,14,134.48,2024-09-26,False
135,Spend MediumPurple,4,402.71,2025-02-13,False
136,In LightGoldenRodYellow,26,288.51,2024-01-23,False
137,Realize DarkRed,9,449.74,2025-02-04,False
138,Couple SlateGray,27,52.41,2023-12-09,False
139,Ok WhiteSmoke,23,79.47,2024-02-19,False
140,Staff Sienna,25,441.62,2024-04-20,False
141,Ten RosyBrown,17,390.4,2025-05-06,False
142,Democrat PapayaWhip,24,476.86,2024-08-08,False
143,Push Plum,10,8.68,2024-04-23,False
144,Suffer WhiteSmoke,3,222.9,2023-10-25,False
145,Hit MediumBlue,22,391.88,2025-03-07,False
146,Kid Green,25,326.74,2025-01-02,False
147,Heavy Aquamarine,14,446.1,2025-02-14,True
148,Rest DarkSlateGray,28,114.94,2024-05-09,False
149,Make DarkGray,22,378.35,2025-05-07,False
150,Energy DimGray,21,473.38,2024-11-03,False
151,Realize DarkSlateGray,23,310.92,2025-02-26,False
152,Student PaleGreen,29,248.52,2023-09-10,False
153,Exactly SandyBrown,14,468.28,2024-12-27,False
154,Site MediumPurple,29,305.94,2024-06-10,False
155,Really PaleGreen,9,168.5,2023-12-15,False
156,All MediumPurple,3,417.48,2025-02-22,True
157,Entire Aquamarine,9,406.14,2024-10-22,False
158,Daughter BlanchedAlmond,7,301.51,2024-11-11,False
159,Decade LightYellow,11,461.96,2025-04-29,False
160,Other Lavender,18,96.9,2024-09-28,False
161,Doctor DarkTurquoise,27,202.15,2023-12-23,True
162,Region MediumSlateBlue,28,190.58,2023-11-23,False
163,Job SaddleBrown,26,139.95,2025-01-21,False
164,His RosyBrown,7,93.94,2025-01-18,False
165,Wall Orchid,10,169.63,2024-12-31,False
166,Partner LawnGreen,15,399.15,2024-09-05,False
167,They Brown,1,177.17,2025-02-27,False
168,Sell Thistle,13,64.46,2025-02-10,False
169,Son DarkSlateGray,15,8.61,2025-05-03,False
170,Often HotPink,16,103.71,2024-01-22,False
171,Bank LemonChiffon,8,243.5,2024-10-28,False
172,Leader FloralWhite,8,24.52,2023-12-23,False
173,Worry RoyalBlue,23,299.15,2024-03-20,False
174,Property Chocolate,21,265.14,2024-09-18,False
175,Ever Maroon,24,250.64,2024-09-23,False
176,Evening BurlyWood,2,158.61,2024-01-05,False
177,Rather WhiteSmoke,24,157.06,2024-09-09,True
178,Believe DodgerBlue,8,40.94,2024-10-14,False
179,Point DarkSeaGreen,25,207.98,2023-10-28,False
180,Simple Purple,6,205.06,2024-08-03,False
181,Their Moccasin,23,299.75,2025-03-23,False
182,Woman Chartreuse,4,130.27,2024-11-25,False
183,Tree Gray,31,63.4,2025-02-02,False
184,Push MintCream,27,369.45,2025-04-19,False
185,Culture Khaki,17,97.18,2024-04-19,False
186,History MediumAquaMarine,9,115.97,2025-05-07,False
187,Pretty DarkSlateGray,24,145.78,2024-03-21,False
188,People Lime,23,6.94,2023-09-24,False
189,Policy SkyBlue,4,383.69,2023-09-22,False
190,Big PaleGoldenRod,11,103.71,2024-05-04,False
191,Trip OliveDrab,21,320.14,2024-04-05,False
192,Pull MistyRose,30,31.93,2024-12-25,False
193,Trouble Moccasin,26,342.23,2024-04-20,False
194,Law IndianRed,6,140.26,2023-12-20,False
195,Cause MediumPurple,24,154.9,2024-07-13,False
196,Turn DarkSlateBlue,10,30.86,2023-10-03,False
197,Mother PaleTurquoise,31,89.01,2024-06-02,False
198,Black OldLace,15,84.58,2024-10-05,False
199,Could Orange,21,31.14,2025-05-04,False
200,Election FloralWhite,5,96.82,2024-12-16,False
201,Set LightSteelBlue,15,111.81,2025-01-31,False
202,Turn LightSlateGray,9,417.92,2024-12-17,False
203,Newspaper DarkBlue,6,221.8,2024-01-19,True
204,When DeepSkyBlue,4,404.05,2024-09-07,True
205,Number DarkKhaki,25,232.78,2024-10-05,False
206,New DarkKhaki,12,45.73,2024-01-06,True
207,Design MidnightBlue,19,306.88,2024-05-03,True
208,Staff LightCyan,7,311.45,2023-09-29,False
209,Traditional Cornsilk,17,394.81,2024-06-14,False
210,Loss DeepPink,10,33.03,2024-10-15,False
211,Each LightGray,4,338.33,2023-09-11,False
212,Start LightSlateGray,20,449.63,2024-09-29,False
213,Up Olive,31,341.67,2024-08-09,False
214,Piece RosyBrown,31,256.91,2025-01-18,False
215,Stand Yellow,30,330.95,2023-09-01,False
216,One LightBlue,18,235.87,2024-04-30,False
217,Know SkyBlue,5,366.22,2024-02-03,False
218,Cup BurlyWood,24,123.97,2025-02-12,False
219,Control SaddleBrown,29,272.77,2024-05-15,False
220,Over Azure,22,131.33,2025-02-04,True
221,Environment Silver,8,291.56,2024-07-18,False
222,While Linen,11,430.77,2024-05-09,False
223,Building Cyan,2,41.23,2023-10-13,False
224,System NavajoWhite,4,338.72,2023-11-30,False
225,Read Purple,27,380.6,2024-05-27,False
226,Store PeachPuff,16,108.03,2025-05-08,False
227,Talk RosyBrown,5,343.73,2023-10-14,False
228,Stuff RosyBrown,28,163.42,2024-02-27,False
229,Bill LimeGreen,26,231.42,2024-05-06,False
230,Much MediumPurple,21,451.02,2024-07-21,False
231,Language SteelBlue,4,349.72,2024-03-28,False
232,Poor DarkBlue,9,136.03,2024-11-09,False
233,Ever Teal,23,482.38,2024-03-06,False
234,College HoneyDew,1,490.12,2024-06-05,False
235,Allow WhiteSmoke,5,230.5,2025-03-09,False
236,Hospital PaleGoldenRod,30,14.24,2024-09-13,False
237,Little Fuchsia,11,456.57,2025-01-17,False
238,System DarkViolet,12,218.04,2024-09-14,False
